File_Name,Model,Optimized_Parameters,MAE,F2
data/drug_release/3..csv,weibull,[14.28319654  0.3073583 ],0.8692068499604338,92.078196369658
data/drug_release/4..csv,weibull,[30.02983535  0.30352233],0.31237962099937305,98.41287652256158
data/drug_release/23..csv,weibull,[4.40380169e-05 3.82287708e+00],1.583401361871829,84.03849770489533
data/drug_release/24..csv,weibull,[1.04755770e-05 4.22272728e+00],1.5880592685087354,82.06194450147409
data/drug_release/27..csv,weibull,[0.12841327 1.14705122],6.802208256173546,55.88535167220917
data/drug_release/28..csv,weibull,[0.05988976 1.25944678],9.516699846235499,47.50335701602965
data/drug_release/31..csv,weibull,[0.02592548 1.6202584 ],9.283006277006715,50.56262348413636
data/drug_release/32..csv,weibull,[2.95163261e-05 4.16115995e+00],4.040768665244761,58.473016588373305
data/drug_release/33..csv,weibull,[11.24195003  0.42744217],0.3722468620377621,98.20651103909314
data/drug_release/34..csv,weibull,[2.4019395  0.33225064],4.466193737592457,63.74929490061707
data/drug_release/35..csv,weibull,[0.1175094  1.20665206],6.72730647335226,55.84438469527163
data/drug_release/36..csv,weibull,[0.04553671 1.39178599],9.665036653983352,46.86766331662401
data/drug_release/47..csv,weibull,[4.87565969 0.23885138],2.027928395768019,79.58677036143274
data/drug_release/50..csv,weibull,[7.22044612 0.43464253],4.375519866881057,61.43472317131936
data/drug_release/53..csv,weibull,[6.00408482 0.38247316],4.9764311884488865,58.99271872423798
data/drug_release/54..csv,weibull,[64.07921061  0.24367998],0.12244112388634254,99.78507449488542
data/drug_release/56..csv,weibull,[17.0929908   0.46389047],1.0091315798223046,88.82996017235884
data/drug_release/57..csv,weibull,[97.57575938  0.78968467],0.674020378117104,94.23375957304172
data/drug_release/58..csv,weibull,[130.63020363   0.84631239],0.2558130087524028,98.9653950173965
data/drug_release/59..csv,weibull,[28.42888042  1.4323762 ],1.3619942045796756,86.35203196579756
data/drug_release/60..csv,weibull,[0.99227122 0.3131128 ],4.129013851803718,65.06939490413927
data/drug_release/61..csv,weibull,[28.91093687  1.42552788],1.3267752744464385,87.00746196535934
data/drug_release/62..csv,weibull,[17.91053515  1.89646004],2.1204339122148266,78.70709664480616
data/drug_release/70..csv,weibull,[10.18052835  0.58902111],1.3260825055167478,82.58013365803345
data/drug_release/71..csv,weibull,[14.89553115  0.97414919],1.9821081654585453,75.87699047964385
data/drug_release/72..csv,weibull,[28.51526709  1.18016398],1.0760939591464138,88.51143243904093
data/drug_release/73..csv,weibull,[8.63239124 0.85645894],2.0691796311753454,78.07036502416086
data/drug_release/74..csv,weibull,[21.27936957  1.53212702],2.468728515735185,75.92544311425335
data/drug_release/75..csv,weibull,[3.29411974 1.01373929],1.96724683356233,77.95428960015953
data/drug_release/76..csv,weibull,[33.32944484  1.23274854],0.9505428893573286,89.11487965196898
data/drug_release/77..csv,weibull,[30.48147585  1.4619552 ],1.2018850275111983,87.92009411866442
data/drug_release/78..csv,weibull,[25.30096564  1.61200477],2.4912746762007982,75.17994641587516
data/drug_release/79..csv,weibull,[4.51400452 1.09945597],2.1961347429600577,67.88066598508384
data/drug_release/80..csv,weibull,[4.69858682 1.05472041],2.82746660201739,63.690903675655285
data/drug_release/81..csv,weibull,[4.05468979 0.72822346],5.851845404017235,57.87403329324696
data/drug_release/82..csv,weibull,[3.93364606 0.9328695 ],3.246532002519163,63.78120822763277
data/drug_release/83..csv,weibull,[8.79846803 0.75115365],1.4663728399770704,85.45852855450981
data/drug_release/84..csv,weibull,[9.55321604 0.78108695],2.6408656388115164,73.38578438150084
data/drug_release/85..csv,weibull,[4.20774022 0.6163062 ],1.8464579149140954,79.89717291971138
data/drug_release/86..csv,weibull,[3.41549001 0.8178054 ],3.3483940448218514,64.45406042820167
data/drug_release/87..csv,weibull,[2.81688783 1.11666556],2.9868742705471427,72.46667515994675
data/drug_release/88..csv,weibull,[2.13735558 1.13783662],2.7162840206123122,71.8723135691151
