file,alpha,beta,PC1,PC2,cluster,cluster_name,color_order
133,1.444125697725554,0.3499927037598892,19.120252406109326,5.402755027261283,1,Fast,0
134,1.9299802932446568,0.5618865306967292,21.946582415748562,0.9436106809236945,1,Fast,0
135,0.8078027130760714,0.7527389840733515,33.26311894418024,10.113283076487617,1,Fast,0
136,2.012451717777351,0.6048927173550314,22.69440417236471,0.3666883284634806,1,Fast,0
137,0.3660397041651823,1.6668776808649317,34.63316518547049,12.671447395318962,1,Fast,0
138,2.6119945105302995,0.5348202740771368,14.418685185221923,-0.6755616711373249,1,Fast,0
139,0.4924353241131084,4.897424566183278,33.4332475953846,8.205690321558103,1,Fast,0
140,1.3402231303181784,0.5851500063101663,28.22623088596901,4.460051046390174,1,Fast,0
141,0.3723750077834311,0.4625112610915629,35.496758000285126,17.383733752539477,1,Fast,0
173,3.930200326137928,0.4706664320954364,1.1469725840732252,-0.36367661335496937,0,Medium,1
174,5.530187258025498,0.3409211344532195,-12.759417647277106,2.3136209654235427,0,Medium,1
203,0.4156490719935825,0.9510544190316148,34.97420410653821,14.456514833969255,1,Fast,0
205,1.5816924275702742,0.4170953804236308,20.140013818432905,3.8310164079398508,1,Fast,0
206,2.5313852982906124,0.3923565892230328,7.632572212836742,1.8632881774292567,0,Medium,1
207,1.2725526054450864,0.3415659781889376,21.549278072993623,6.48594993512571,1,Fast,0
208,1.3682446546982334,0.5697490800922197,27.65035715927275,4.239137523332729,1,Fast,0
209,5.678782730756543,0.1538517139207975,-20.12838716246407,5.1273116044960005,2,Slow,2
210,2.822677208632661,0.244769947325205,-3.1555678370267577,4.6604080564923915,0,Medium,1
211,1.5754074806595233,0.0819871954016949,2.46390915104982,10.324468120330842,0,Medium,1
213,3.7864636734923103,0.2434213204425943,-9.706424100193452,4.206739138487807,0,Medium,1
214,0.5420410136474778,0.5150018518473316,34.436319499311864,14.286822982436053,1,Fast,0
215,0.6680418474469797,0.4840471348197755,33.3176286561559,12.331304464798418,1,Fast,0
216,4.400593930068158,0.1527190349248889,-16.280410520557854,5.514546256955178,2,Slow,2
217,6.722327368985865,0.1241152351008786,-23.112493589240508,5.256027040472929,2,Slow,2
218,3.197934766343137,0.1561609507417432,-10.234332727604752,6.104415898313016,0,Medium,1
219,14.445477431010294,0.0857628554816397,-30.128531256198567,4.782125762202703,2,Slow,2
220,3.251254581520687,0.3562734281527239,-0.5581480212264189,2.1217005649065497,0,Medium,1
221,1.7104865542350762,0.9423175285093792,30.112693762477917,2.9209149269749597,1,Fast,0
222,1.500197164669587,0.9506808058883944,30.9260921237005,4.2933165717450334,1,Fast,0
223,1.877814122017572,0.7382156169617664,27.072813450119703,1.0143004989495,1,Fast,0
224,1.3482405531087482,0.9155406765716828,31.34535601596119,5.2558277214066225,1,Fast,0
225,4.181617515814148,0.8219264877745716,17.306868418388387,-5.6123674099844,1,Fast,0
230,9.683437093778492,0.4344654302451201,-18.45759924827658,1.3981977881921388,2,Slow,2
231,2.0594270569907263,0.1968098910596985,1.9588505472239346,6.597530900731928,0,Medium,1
232,1.740623661190328,0.2227798745710164,7.7327231121746225,6.733204324208486,0,Medium,1
233,1.452729617740192,0.2424672607844902,13.502825017066513,7.263268691290421,1,Fast,0
242,5.116820045299528,0.2256692351076455,-16.065255860819995,4.2278946695067905,2,Slow,2
254,2.5620241909138057,0.96835983728768,27.332291434776433,-1.1423048025058664,1,Fast,0
255,2.727411099165184,1.1107765180743985,28.24388036046831,-0.8666725208548124,1,Fast,0
