File_Name,Model,Optimized_Parameters,MAE
data/drug_release/84..csv,weibull,[9.553 0.781],2.6408656388115164
data/drug_release/84..csv,reciprocal,[9.154 0.088],1.7075721733970488
data/drug_release/85..csv,zero_order,[2.546],22.36697831413653
data/drug_release/85..csv,first_order,[0.126],6.114653022542598
data/drug_release/85..csv,higuchi,[16.319],7.376539037724048
data/drug_release/85..csv,korsmeyer_Peppas,[25.639  0.349],3.266610423026275
data/drug_release/85..csv,weibull,[4.208 0.616],1.8464579149140954
data/drug_release/85..csv,reciprocal,[18.857  0.187],3.2846629163124916
data/drug_release/86..csv,zero_order,[4.643],25.68725410495712
data/drug_release/86..csv,first_order,[0.241],3.305880587923159
data/drug_release/86..csv,higuchi,[22.187],10.16609662288949
data/drug_release/86..csv,korsmeyer_Peppas,[32.643  0.335],8.134318632272889
data/drug_release/86..csv,weibull,[3.415 0.818],3.3483940448218514
data/drug_release/86..csv,reciprocal,[36.416  0.366],3.2953274877619982
data/drug_release/87..csv,zero_order,[5.655],34.908887896240785
data/drug_release/87..csv,first_order,[0.396],2.8708311034761724
data/drug_release/87..csv,higuchi,[27.675],15.618521507707545
data/drug_release/87..csv,korsmeyer_Peppas,[43.337  0.308],12.430910939318085
data/drug_release/87..csv,weibull,[2.817 1.117],2.9868742705471427
data/drug_release/87..csv,reciprocal,[53.488  0.453],5.285136723901878
data/drug_release/88..csv,zero_order,[5.864],40.85795949284724
data/drug_release/88..csv,first_order,[0.52],3.1589312649158914
data/drug_release/88..csv,higuchi,[29.519],19.892437990453097
data/drug_release/88..csv,korsmeyer_Peppas,[51.147  0.263],13.282796203369786
data/drug_release/88..csv,weibull,[2.137 1.138],2.7162840206123122
data/drug_release/88..csv,reciprocal,[72.882  0.62 ],5.652972286211098
data/drug_release/89..csv,zero_order,[2.224],14.456826970021977
data/drug_release/89..csv,first_order,[0.066],3.5858295408897165
data/drug_release/89..csv,higuchi,[13.265],4.454841066649418
data/drug_release/89..csv,korsmeyer_Peppas,[13.403  0.497],4.46858821927484
data/drug_release/89..csv,weibull,[9.639 0.786],1.962615020872282
data/drug_release/89..csv,reciprocal,[8.911 0.083],1.2845344111964037
data/drug_release/91..csv,zero_order,[2.193],15.143290522097717
data/drug_release/91..csv,first_order,[0.069],3.095635745957341
data/drug_release/91..csv,higuchi,[13.177],5.806169462347448
data/drug_release/91..csv,korsmeyer_Peppas,[13.665  0.488],5.814563187837888
data/drug_release/91..csv,weibull,[9.71  0.795],2.9495046941856486
data/drug_release/91..csv,reciprocal,[9.242 0.088],2.0846030597631393
data/drug_release/92..csv,zero_order,[2.245],15.270211331911641
data/drug_release/92..csv,first_order,[0.071],2.6024935826096796
data/drug_release/92..csv,higuchi,[13.488],5.502460397770211
data/drug_release/92..csv,korsmeyer_Peppas,[13.996  0.488],5.497290680212792
data/drug_release/92..csv,weibull,[9.82  0.817],2.4688035666015384
data/drug_release/92..csv,reciprocal,[9.314 0.086],1.7566307527914795
data/drug_release/94..csv,zero_order,[0.511],0.8509969037126337
data/drug_release/94..csv,first_order,[0.005],0.8438963069125238
data/drug_release/94..csv,higuchi,[1.271],0.3613180718925836
data/drug_release/94..csv,korsmeyer_Peppas,[1.742 0.286],0.12221014033476589
data/drug_release/94..csv,weibull,[56.872  0.289],0.12195695650636224
data/drug_release/94..csv,reciprocal,[3.573 1.071],0.10152027774037255
data/drug_release/95..csv,zero_order,[0.432],0.5211992797349856
data/drug_release/95..csv,first_order,[0.004],0.515991664199609
data/drug_release/95..csv,higuchi,[1.038],0.1573372527913716
data/drug_release/95..csv,korsmeyer_Peppas,[1.102 0.461],0.15114310665860461
data/drug_release/95..csv,weibull,[90.328  0.465],0.15058413501113183
data/drug_release/95..csv,reciprocal,[1.451 0.408],0.1384929561473352
data/drug_release/96..csv,zero_order,[0.139],0.12857803294186707
data/drug_release/96..csv,first_order,[0.001],0.12804419748561924
data/drug_release/96..csv,higuchi,[0.329],0.030504708718931045
data/drug_release/96..csv,korsmeyer_Peppas,[0.311 0.538],0.02917561097673825
data/drug_release/96..csv,weibull,[300.      0.501],0.028859922888399614
data/drug_release/96..csv,reciprocal,[0.363 0.275],0.02308735014229133
data/drug_release/97..csv,zero_order,[0.197],0.19313589931101896
data/drug_release/97..csv,first_order,[0.002],0.19206154796208796
data/drug_release/97..csv,higuchi,[0.469],0.032383896014181804
data/drug_release/97..csv,korsmeyer_Peppas,[0.462 0.509],0.03386694002275096
data/drug_release/97..csv,weibull,[215.908   0.511],0.033821509163846575
data/drug_release/97..csv,reciprocal,[0.551 0.308],0.03806942684000578
data/drug_release/98..csv,zero_order,[2.458],23.023515692793076
data/drug_release/98..csv,first_order,[0.141],6.590891471508005
data/drug_release/98..csv,higuchi,[16.166],9.293684751382873
data/drug_release/98..csv,korsmeyer_Peppas,[28.735  0.306],4.0907499718824685
data/drug_release/98..csv,weibull,[3.521 0.543],1.9269481528696426
data/drug_release/98..csv,reciprocal,[23.794  0.258],2.314089818163341
data/drug_release/99..csv,zero_order,[2.179],15.349752817242953
data/drug_release/99..csv,first_order,[0.065],4.055105891356019
data/drug_release/99..csv,higuchi,[13.25],4.6347926204833145
data/drug_release/99..csv,korsmeyer_Peppas,[13.776  0.488],4.591630916992644
data/drug_release/99..csv,weibull,[9.434 0.776],1.923949509380935
data/drug_release/99..csv,reciprocal,[8.967 0.084],1.2370144824422205
data/drug_release/100..csv,zero_order,[2.149],14.461651844801374
data/drug_release/100..csv,first_order,[0.065],2.9472352332334193
data/drug_release/100..csv,higuchi,[12.956],5.194014605434094
data/drug_release/100..csv,korsmeyer_Peppas,[13.361  0.49 ],5.2180087504558434
data/drug_release/100..csv,weibull,[10.056  0.793],2.7098974030765315
data/drug_release/100..csv,reciprocal,[8.777 0.083],1.854035106113688
data/drug_release/101..csv,zero_order,[3.467],5.341183781935995
data/drug_release/101..csv,first_order,[0.054],1.2787784329161198
data/drug_release/101..csv,higuchi,[14.081],3.3190337887634964
data/drug_release/101..csv,korsmeyer_Peppas,[8.848 0.671],0.16096506363558283
data/drug_release/101..csv,weibull,[15.472  0.935],1.140797247619131
data/drug_release/101..csv,reciprocal,[5.945 0.04 ],1.099492317687507
data/drug_release/102..csv,zero_order,[3.133],4.743685753524157
data/drug_release/102..csv,first_order,[0.047],1.276324093275438
data/drug_release/102..csv,higuchi,[12.723],3.1237375741817504
data/drug_release/102..csv,korsmeyer_Peppas,[7.89  0.676],0.2169964172042338
data/drug_release/102..csv,weibull,[16.461  0.901],0.8846184659502295
data/drug_release/102..csv,reciprocal,[5.326 0.039],1.0094737025120597
data/drug_release/103..csv,zero_order,[3.396],4.034543196167695
data/drug_release/103..csv,first_order,[0.052],1.0445464812970429
data/drug_release/103..csv,higuchi,[13.705],4.596320473417482
data/drug_release/103..csv,korsmeyer_Peppas,[7.079 0.742],0.44542579617528616
data/drug_release/103..csv,weibull,[20.878  1.032],0.9544720989792432
data/drug_release/103..csv,reciprocal,[5.083 0.028],0.6183162303544926
data/drug_release/104..csv,zero_order,[5.758],31.522969077741337
data/drug_release/104..csv,first_order,[0.458],3.824931384582738
data/drug_release/104..csv,higuchi,[24.929],17.17286392403719
data/drug_release/104..csv,korsmeyer_Peppas,[59.62   0.173],5.9641212062001765
data/drug_release/104..csv,weibull,[1.58  0.673],2.574759627617151
data/drug_release/104..csv,reciprocal,[91.592  0.89 ],2.195868206112898
data/drug_release/105..csv,zero_order,[4.577],11.51527394992158
data/drug_release/105..csv,first_order,[0.096],2.1088803573190757
data/drug_release/105..csv,higuchi,[18.886],1.121680009772514
